협력사 이름,협력사 Status,발주담당자,협력사 결제조건,하도급계약 대상여부,업태,인쇄,1. 제조유형,2. Goods Category_1.goods
현일에스앤피랩,거래중,김하은,건별,비대상,플라스틱 제조,,단순구매,Lifestyle
효제지업사,거래중,김하은,건별,비대상,"패키지, 지류",,단순구매,Fabric
신시어리웨일즈 주식회사,거래중,남인호,정기(월),비대상,UV평판인쇄,UV인쇄,외주용역,"Tech, Lifestyle"
(주)루메나,거래중,육승미,정기(월),비대상,"테크, 실크인쇄",실크인쇄,턴키제작,Tech
(주)쉔코리아,거래중,육승미,정기(월),비대상,"테크, 레이저인쇄",레이저인쇄,턴키제작,Tech
(주)이삭반도체,거래종료,육승미,건별,비대상,"테크, UV평판인쇄",UV인쇄,외주용역,"Tech, Bag&pouch"
공방플러스위드,거래중,육승미,건별,비대상,"생활용품, 레이저인쇄",레이저인쇄,턴키제작,Lifestyle
그리닉,거래중,육승미,건별,대상,종자업,,단순구매,Lifestyle
디케이에스에이치코리아(주),거래중,육승미,정기(월),비대상,"사무용품, 칠도금",컬러조각인쇄,턴키제작,Stationery
모토잉,거래중,육승미,건별,비대상,"테크, 레이저인쇄",레이저인쇄,턴키제작,Wine
바네사381,거래중,육승미,건별,비대상,"패브릭, 실크인쇄",실크인쇄,턴키제작,Lifestyle
서울디지털인쇄협동조합,거래중,육승미,정기(월),대상,"디지털인쇄, 지류",디지털인쇄,턴키제작,Stationery
엠알오즈(MROZ),거래중,육승미,정기(월),대상,"피규어, UV평판인쇄",UV인쇄,턴키제작,Brick
올댓프린팅,거래중,육승미,정기(월),대상,"아크릴가공, UV평판인쇄",UV인쇄,턴키제작,"Awards & Recognition,Stationery,Kit Package,Lifestyle,Drinkware"
우리포장,거래중,육승미,건별,비대상,"패키지, 지류",,단순구매,Lifestyle
이모텔리,거래중,육승미,건별,대상,"테크, UV평판인쇄",UV인쇄,턴키제작,Lifestyle
이지굿스,거래중,육승미,정기(월),대상,"아크릴가공, UV평판인쇄",UV인쇄,턴키제작,Lifestyle
"제로코리아 주식회사(ZERO KOREA Co. , Ltd)",거래중,육승미,건별,비대상,세제,,단순구매,Lifestyle
주식회사 기억니은 (구. 화영),거래중,육승미,정기(월),대상,"패키지, UV평판인쇄, 철제",UV인쇄,턴키제작,Fragrance
주식회사 더블유엔피,거래중,육승미,건별,비대상,"생활용품, 옵셋인쇄",옵셋인쇄,턴키제작,Lifestyle
주식회사 따벨라,거래중,육승미,건별,비대상,"드링크웨어, 스테인리스",,단순구매,Drinkware
주식회사 제이더블유굿즈,거래중,육승미,건별,비대상,"드링크웨어, 실크인쇄, 플라스틱 제조",UV인쇄,턴키제작,Drinkware
주식회사 피앤더블유인터네셔널,거래중,육승미,정기(월),대상,방향,,단순구매,Fragrance
착한포장,거래중,육승미,건별,대상,"패키지, 비닐",,단순구매,Fragrance
협립코리아,거래중,육승미,건별,비대상,"생활용품, 패브릭, 레이저인쇄, 실크인쇄","레이저인쇄, 실크인쇄",턴키제작,Lifestyle
(주)청산인쇄,거래중,이난영,정기(월),대상,"옵셋인쇄, 지류",옵셋인쇄,외주용역,Stationery
(주)포텍,거래종료,이난영,정기(월),대상,펄프가공,펄프가공,턴키제작,Kit Package
강천FNT,거래중,이난영,정기(주),대상,"드링크웨어, 실크인쇄",UV실크인쇄,외주용역,Drinkware
데이비드테크(주),거래중,이난영,건별,비대상,"테크, 실크인쇄",실크인쇄,턴키제작,Tech
도로어워드,거래중,이난영,정기(월),대상,"패, 칠도금",칠도금,턴키제작,Awards & Recognition
디지탈준,거래중,이난영,정기(월),대상,UV곡면인쇄,UV인쇄,외주용역,Drinkware
아인 디스트리뷰션,거래중,이난영,건별,대상,"드링크웨어, 세라믹전사인쇄",세라믹전사인쇄,턴키제작,Drinkware
주식회사 꾸띠잔홀딩스,거래중,이난영,정기(월),대상,"드링크웨어, 레이저인쇄, 실크인쇄","레이저인쇄, 실크인쇄",외주용역,Drinkware
주식회사 더블에이치,거래중,이난영,건별,대상,"방향, 승화전사인쇄",전사인쇄,턴키제작,Fragrance
주식회사 모아패키지,거래중,이난영,정기(월),대상,"옵셋인쇄, 지류",옵셋인쇄,외주용역,Kit Package
주식회사 위즈프로(구.호언),거래중,이난영,정기(월),대상,"UV평판인쇄, UV곡면인쇄, 승화전사인쇄, 패브릭",UV인쇄,외주용역,Tech
,,,,대상,,,,
(주)뮤스트,거래중,육승미,건별,대상,"테크, UV평판인쇄",UV인쇄,외주용역,"Tech, Bag&pouch"
주식회사 비브릭스 코퍼레이션,거래중,김민지,건별,,,,,
"Dongguan Songming Electronic Technology Co., Ltd",거래중,김민정,건별,비대상,,,,
"Longgang Xingqing Bag Co.,Ltd.",거래중,김민정,,비대상,,,,
"Shenzhen Shengyihe Industry Co., Ltd",거래중,김민정,,비대상,,,,
성우스크린,거래중,김영준,정기(월),,,실크인쇄,,Drinkware
백타운 (Bagtown),거래중,김민지,건별,비대상,,,,
미쓰비시연필한국판매 주식회사,거래중,김하은,건별,비대상,,,,
다영기획,거래중,남인호,정기(월),대상,,,,
