Name,공지업무채널_슬랙미발송,파츠명,판매상태,담당자,판매상태 변경사유,적용 굿즈명,Goods code,변경일,end time,변경일(인터페이스용),end time(인터페이스용),parts_RECORD_ID (from 파츠명),newest record,판매상태 변경,Autonumber,담당자 이름,파츠 이름,확인 요청 사항,재고소유구분 (from sync_parts),품절 성격,품절 사유,파츠 유형 (from 파츠명),굿즈품절여부
SSU000046,,PT0496-안전봉투_200-3,판매가능,정승윤,정보 최초 입력,KeepSafe 안전봉투,SFPP,2023.5.30 4:56오후,,2023.5.30,2026.9.3,recvTY3iBKaAZS6N3,recvTY3iBKaAZS6N3,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recvTY3iBKaAZS6N3,46,정승윤,PT0496-안전봉투_200-3,,협력사,,,Package Parts,
SSU000047,,PT0498-안전봉투_200-2,판매가능,정승윤,정보 최초 입력,KeepSafe 안전봉투,SFPP,2023.5.30 4:56오후,,2023.5.30,2026.9.3,recDbpJdiPPmkH5vV,recDbpJdiPPmkH5vV,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recDbpJdiPPmkH5vV,47,정승윤,PT0498-안전봉투_200-2,,협력사,,,Package Parts,
SSU000048,,PT0499-안전봉투_200-1,판매가능,정승윤,정보 최초 입력,KeepSafe 안전봉투,SFPP,2023.5.30 4:56오후,,2023.5.30,2026.9.3,recbqFTAe6wIu4Gor,recbqFTAe6wIu4Gor,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recbqFTAe6wIu4Gor,48,정승윤,PT0499-안전봉투_200-1,,협력사,,,Package Parts,
SSU000049,,PT0501-미르텀블러_화이트,판매가능,,정보 최초 입력,MiiR 텀블러,MIRT,2023.5.30 4:56오후,2024.12.23 2:52오후,2023.5.30,2024.12.22,recFoI68WKxoEUJUj,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recFoI68WKxoEUJUj,49,,PT0501-미르텀블러_화이트,,신시어리,,,Product Parts,
SSU000050,,PT0503-미르텀블러_블랙,판매가능,,정보 최초 입력,MiiR 텀블러,MIRT,2023.5.30 4:56오후,2024.2.19 10:49오전,2023.5.30,2024.2.18,recP5WdvOqABOkdLT,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recP5WdvOqABOkdLT,50,,PT0503-미르텀블러_블랙,,협력사,,,Product Parts,
SSU000051,,PT0506-굿즈박스(스탠다드)_화이트_000-1,판매가능,,정보 최초 입력,Open 페이퍼박스,OPPB,2023.5.30 4:56오후,,2023.5.30,2026.9.3,recz6d3a65IcVnaof,recz6d3a65IcVnaof,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recz6d3a65IcVnaof,51,,PT0506-굿즈박스(스탠다드)_화이트_000-1,,신시어리,,,Package Parts,
SSU000052,,PT0510-종이패드(스탠다드)_블랙_300-1,판매가능,,정보 최초 입력,Open 페이퍼박스,OPPB,2023.5.30 4:56오후,,2023.5.30,2026.9.3,recuN3Pyfg5jx5hPV,recuN3Pyfg5jx5hPV,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recuN3Pyfg5jx5hPV,52,,PT0510-종이패드(스탠다드)_블랙_300-1,,신시어리,,,Package Parts,
SSU000053,,PT0518-굿즈박스(스탠다드)_블랙_000-1,판매가능,,정보 최초 입력,Open 페이퍼박스,OPPB,2023.5.30 4:56오후,,2023.5.30,2026.9.3,rec4K4t3nJltb0Fwx,rec4K4t3nJltb0Fwx,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=rec4K4t3nJltb0Fwx,53,,PT0518-굿즈박스(스탠다드)_블랙_000-1,,신시어리,,,Package Parts,
SSU000054,,PT0521-종이패드(스탠다드)_화이트_300-1,판매가능,,정보 최초 입력,Open 페이퍼박스,OPPB,2023.5.30 4:56오후,,2023.5.30,2026.9.3,recz6VmBzc7gPbPWN,recz6VmBzc7gPbPWN,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recz6VmBzc7gPbPWN,54,,PT0521-종이패드(스탠다드)_화이트_300-1,,신시어리,,,Package Parts,
SSU000055,,PT0526-지지박스(스탠다드)_블랙_000-1,판매가능,,정보 최초 입력,Open 페이퍼박스,OPPB,2023.5.30 4:56오후,,2023.5.30,2026.9.3,recQno6Jsx1zEoXOn,recQno6Jsx1zEoXOn,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recQno6Jsx1zEoXOn,55,,PT0526-지지박스(스탠다드)_블랙_000-1,,신시어리,,,Package Parts,
SSU000056,,PT0529-지지박스(스탠다드)_화이트_000-1,판매가능,,정보 최초 입력,Open 페이퍼박스,OPPB,2023.5.30 4:56오후,,2023.5.30,2026.9.3,rec4hcEKHsSOOwU6o,rec4hcEKHsSOOwU6o,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=rec4hcEKHsSOOwU6o,56,,PT0529-지지박스(스탠다드)_화이트_000-1,,신시어리,,,Package Parts,
SSU000057,,PT0532-오픈박스(스탠다드)_블랙_300-1,판매가능,,정보 최초 입력,모바일 오피스 파우치,MOFP,2023.5.30 4:56오후,,2023.5.30,2026.9.3,recbTOK84WotsDcxH,recbTOK84WotsDcxH,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recbTOK84WotsDcxH,57,,PT0532-오픈박스(스탠다드)_블랙_300-1,,신시어리,,,Package Parts,
SSU000058,,PT0534-무광스트링파우치(커스텀인쇄)(M)_블랙_200-1,판매가능,정승윤,정보 최초 입력,Passion 더스트백,DBAG,2023.5.30 4:56오후,,2023.5.30,2026.9.3,reclZL6iAlyxHAEjR,reclZL6iAlyxHAEjR,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=reclZL6iAlyxHAEjR,58,정승윤,PT0534-무광스트링파우치(커스텀인쇄)(M)_블랙_200-1,,신시어리,,,Package Parts,
SSU000059,,PT0536-무광스트링파우치(커스텀인쇄)(M)_반투명_200-1,판매가능,정승윤,정보 최초 입력,"Passion 더스트백, 클리어 리유저블컵","DBAG, CLRU",2023.5.30 4:56오후,,2023.5.30,2026.9.3,rec4TpbmxUGX6uGIa,rec4TpbmxUGX6uGIa,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=rec4TpbmxUGX6uGIa,59,정승윤,PT0536-무광스트링파우치(커스텀인쇄)(M)_반투명_200-1,,신시어리,,,Package Parts,
SSU000060,,PT0542-골지트레이박스_화이트_200-1,판매가능,,정보 최초 입력,Quality 슬리브 박스,SLVB,2023.5.30 4:56오후,,2023.5.30,2026.9.3,recsaKTeTzvHg0m7W,recsaKTeTzvHg0m7W,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recsaKTeTzvHg0m7W,60,,PT0542-골지트레이박스_화이트_200-1,,신시어리,,,Package Parts,
SSU000061,,PT0543-골지트레이박스_블랙_200-1,판매가능,,정보 최초 입력,Quality 슬리브 박스,SLVB,2023.5.30 4:56오후,,2023.5.30,2026.9.3,receztiWclkR39JB8,receztiWclkR39JB8,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=receztiWclkR39JB8,61,,PT0543-골지트레이박스_블랙_200-1,,신시어리,,,Package Parts,
SSU000062,,PT0548-텀블러류지지박스_화이트_000-1,판매가능,,정보 최초 입력,"Quality 슬리브 박스, Solid 스탠다드 G형 박스, Solid 커스텀 G형 박스","SLVB, DRCG, SCGB",2023.5.30 4:56오후,,2023.5.30,2026.9.3,recPsoHFHi3V5lhJO,recPsoHFHi3V5lhJO,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recPsoHFHi3V5lhJO,62,,PT0548-텀블러류지지박스_화이트_000-1,,신시어리,,,Package Parts,
SSU000063,,PT0549-텀블러류지지박스_블랙_000-1,판매가능,,정보 최초 입력,"Quality 슬리브 박스, Solid 스탠다드 G형 박스, Solid 커스텀 G형 박스","SLVB, DRCG, SCGB",2023.5.30 4:56오후,,2023.5.30,2026.9.3,recp9pa8wsVcVRNyx,recp9pa8wsVcVRNyx,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recp9pa8wsVcVRNyx,63,,PT0549-텀블러류지지박스_블랙_000-1,,신시어리,,,Package Parts,
SSU000064,,PT0554-노트류지지대(전용)_블랙_100-2,판매가능,,정보 최초 입력,"Quality 슬리브 박스, Solid 스탠다드 G형 박스, Solid 커스텀 G형 박스","SLVB, DRCG, SCGB",2023.5.30 4:56오후,,2023.5.30,2026.9.3,recDR0mqldgRQF8JF,recDR0mqldgRQF8JF,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recDR0mqldgRQF8JF,64,,PT0554-노트류지지대(전용)_블랙_100-2,,신시어리,,,Package Parts,
SSU000065,,PT0555-노트류지지대(전용)_화이트_100-2,판매가능,,정보 최초 입력,"Quality 슬리브 박스, Solid 스탠다드 G형 박스, Solid 커스텀 G형 박스","SLVB, DRCG, SCGB",2023.5.30 4:56오후,,2023.5.30,2026.9.3,recsIckWDorUmV0GU,recsIckWDorUmV0GU,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recsIckWDorUmV0GU,65,,PT0555-노트류지지대(전용)_화이트_100-2,,신시어리,,,Package Parts,
SSU000066,,PT0557-머그류지지박스_화이트_000-2,판매가능,,정보 최초 입력,"Quality 슬리브 박스, Solid 스탠다드 G형 박스, Solid 커스텀 G형 박스","SLVB, DRCG, SCGB",2023.5.30 4:56오후,,2023.5.30,2026.9.3,recJGr9sSpmuuk6zY,recJGr9sSpmuuk6zY,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recJGr9sSpmuuk6zY,66,,PT0557-머그류지지박스_화이트_000-2,,신시어리,,,Package Parts,
SSU000067,,PT0558-머그류지지박스_블랙_000-2,판매가능,,정보 최초 입력,"Quality 슬리브 박스, Solid 스탠다드 G형 박스, Solid 커스텀 G형 박스","SLVB, DRCG, SCGB",2023.5.30 4:56오후,,2023.5.30,2026.9.3,recWKKgeds03rY4IC,recWKKgeds03rY4IC,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recWKKgeds03rY4IC,67,,PT0558-머그류지지박스_블랙_000-2,,신시어리,,,Package Parts,
SSU000068,,PT0562-코튼스트링파우치(커스텀인쇄)(L)_광목_200-1,판매가능,김민정,정보 최초 입력,Raw 코튼 파우치,RCPC,2023.5.30 4:56오후,2023.10.11 6:08오후,2023.5.30,2023.10.10,rec6XHoU0FsKISmQ3,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=rec6XHoU0FsKISmQ3,68,김민정,PT0562-코튼스트링파우치(커스텀인쇄)(L)_광목_200-1,,신시어리,,,Package Parts,
SSU000069,,PT0563-코튼스트링파우치(커스텀인쇄)(XL)_광목_200-2,판매가능,김민정,정보 최초 입력,Raw 코튼 파우치,RCPC,2023.5.30 4:56오후,2024.3.21 11:07오전,2023.5.30,2024.3.20,recPMfp30xe6UX34Q,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recPMfp30xe6UX34Q,69,김민정,PT0563-코튼스트링파우치(커스텀인쇄)(XL)_광목_200-2,,신시어리,,,Package Parts,
SSU000070,,,판매가능,,정보 최초 입력,,,2023.5.30 4:56오후,2026.4.24 4:56오후,2023.5.30,2026.4.23,,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,70,,,,,,,,
SSU000071,,,판매가능,,정보 최초 입력,,,2023.5.30 4:56오후,2024.5.31 10:33오전,2023.5.30,2024.5.30,,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,71,,,,,,,,
SSU000072,,,판매가능,,정보 최초 입력,,,2023.5.30 4:56오후,2024.4.17 2:25오후,2023.5.30,2024.4.16,,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,72,,,,,,,,
SSU000073,,,판매가능,,정보 최초 입력,,,2023.5.30 4:56오후,2026.4.24 4:57오후,2023.5.30,2026.4.23,,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,73,,,,,,,,
SSU000074,,,판매가능,,정보 최초 입력,,,2023.5.30 4:56오후,2026.1.7 12:11오후,2023.5.30,2026.1.6,,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,74,,,,,,,,
SSU000075,,,판매가능,,정보 최초 입력,,,2023.5.30 4:56오후,2026.3.26 5:43오후,2023.5.30,2026.3.25,,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,75,,,,,,,,
SSU000076,,,판매가능,김민지,정보 최초 입력,,,2023.5.30 4:56오후,,2023.5.30,2026.9.3,,recSWfjMtU199Lq3A,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,76,김민지,,,,,,,
SSU000077,,PT0572-머그류지지박스(전용)_블랙_000-3,판매가능,,정보 최초 입력,Reinvent 박스,RIVT,2023.5.30 4:56오후,,2023.5.30,2026.9.3,recAnip1CVm3ptupN,recAnip1CVm3ptupN,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recAnip1CVm3ptupN,77,,PT0572-머그류지지박스(전용)_블랙_000-3,,신시어리,,,Package Parts,
SSU000078,,PT0575-텀블러류지지대(전용)_블랙_000-1,판매가능,,정보 최초 입력,Reinvent 박스,RIVT,2023.5.30 4:56오후,,2023.5.30,2026.9.3,rec8R7956jKR4TVa8,rec8R7956jKR4TVa8,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=rec8R7956jKR4TVa8,78,,PT0575-텀블러류지지대(전용)_블랙_000-1,,신시어리,,,Package Parts,
SSU000079,,PT0576-골지트레이박스(스탠다드)_블랙_200-2,판매가능,,정보 최초 입력,Reinvent 박스,RIVT,2023.5.30 4:56오후,,2023.5.30,2026.9.3,recJXILLA46fp94wo,recJXILLA46fp94wo,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recJXILLA46fp94wo,79,,PT0576-골지트레이박스(스탠다드)_블랙_200-2,,신시어리,,,Package Parts,
SSU000080,,PT0578-노트류지지대(전용)_블랙_100-1,판매가능,,정보 최초 입력,Reinvent 박스,RIVT,2023.5.30 4:56오후,,2023.5.30,2026.9.3,recqJBa6JLtmfsGL8,recqJBa6JLtmfsGL8,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recqJBa6JLtmfsGL8,80,,PT0578-노트류지지대(전용)_블랙_100-1,,신시어리,,,Package Parts,
SSU000081,,,판매가능,정승윤,정보 최초 입력,,,2023.5.30 4:56오후,,2023.5.30,2026.9.3,,recxr7K8TBzQ5OSE5,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,81,정승윤,,,,,,,
SSU000082,,,판매가능,정승윤,정보 최초 입력,,,2023.5.30 4:56오후,,2023.5.30,2026.9.3,,recHTAHgzyUWGBf35,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,82,정승윤,,,,,,,
SSU000083,,PT0588-단품박스(스탠다드)_웜그레이_000-5,판매가능,,정보 최초 입력,"SNOW 손난로 & 보조배터리, 프라우드 투톤 명함지갑, 리마커블 칫솔살균기, 베이직 도킹형 보조배터리, 퀵차지 도킹형 보조배터리","SNBT, TWTO, RMKB, BASD, QUIC",2023.5.30 4:56오후,,2023.5.30,2026.9.3,rec9fGYJFAkx9SE9L,rec9fGYJFAkx9SE9L,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=rec9fGYJFAkx9SE9L,83,,PT0588-단품박스(스탠다드)_웜그레이_000-5,,신시어리,,,Package Parts,
SSU000084,,,판매가능,,정보 최초 입력,,,2023.5.30 4:56오후,,2023.5.30,2026.9.3,,rec5lLalAMRZhyAKj,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,84,,,,,,,,
SSU000085,,,판매가능,,정보 최초 입력,,,2023.5.30 4:56오후,,2023.5.30,2026.9.3,,recOCKuy5aODzycqN,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,85,,,,,,,,
SSU000086,,,판매가능,,정보 최초 입력,,,2023.5.30 4:56오후,2025.6.9 9:28오전,2023.5.30,2025.6.8,,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,86,,,,,,,,
SSU000087,,,판매가능,정승윤,정보 최초 입력,,,2023.5.30 4:56오후,2024.2.19 8:59오전,2023.5.30,2024.2.18,,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,87,정승윤,,,,,,,
SSU000088,,,판매가능,정승윤,정보 최초 입력,,,2023.5.30 4:56오후,2024.6.21 11:18오전,2023.5.30,2024.6.20,,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,88,정승윤,,,,,,,
SSU000089,,,판매가능,정승윤,정보 최초 입력,,,2023.5.30 4:56오후,,2023.5.30,2026.9.3,,recOL5lg93x8dz8Cz,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,89,정승윤,,,,,,,
SSU000090,,,판매가능,,정보 최초 입력,,,2023.5.30 4:56오후,,2023.5.30,2026.9.3,,rec5Y9Q2zymzggGnM,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,90,,,,,,,,
SSU000091,,,판매가능,문경선,정보 최초 입력,,,2023.5.30 4:56오후,,2023.5.30,2026.9.3,,rechipd4nc4Wa4H9w,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,91,문경선,,,,,,,
SSU000092,,,판매가능,정승윤,정보 최초 입력,,,2023.5.30 4:56오후,,2023.5.30,2026.9.3,,recCWQEap60XMK7SA,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,92,정승윤,,,,,,,
SSU000093,,,판매가능,정승윤,정보 최초 입력,,,2023.5.30 4:56오후,,2023.5.30,2026.9.3,,recS6RH9jwfEcXjuF,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,93,정승윤,,,,,,,
SSU000094,,,판매가능,정승윤,정보 최초 입력,,,2023.5.30 4:56오후,,2023.5.30,2026.9.3,,recmkAj9PD8C4EwrI,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=,94,정승윤,,,,,,,
SSU000095,,PT0712-내추럴노트_커버_그레이,판매가능,,정보 최초 입력,내추럴 노트,NTRN,2023.5.30 4:56오후,2023.11.16 10:45오전,2023.5.30,2023.11.15,rec5pn661J4iRslXl,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=rec5pn661J4iRslXl,95,,PT0712-내추럴노트_커버_그레이,,신시어리,,,Product Parts,
SSU000096,,PT0715-내추럴노트_내지(무지.줄)_화이트,판매가능,,정보 최초 입력,내추럴 노트,NTRN,2023.5.30 4:56오후,2025.6.16 10:18오전,2023.5.30,2025.6.15,recJAG2xYOBgagHqq,,https://airtable.com/shr5t1qyPKytJvVBY?prefill_fldziB6bVRltNvUis=recJAG2xYOBgagHqq,96,,PT0715-내추럴노트_내지(무지.줄)_화이트,,신시어리,,,Product Parts,
